№,DOI,Title,Journal,Year,Article number/pages,PMID,PMCID,DOI link,Europe PMC,Open access,OA status,PDF status,PDF source,PDF URL,Local PDF,Errors
11,10.1093/nar/gkae1011,The PRIDE database at 20 years: 2025 update.,Nucleic Acids Research,2025,D543-D553,39494541,PMC11701690,https://doi.org/10.1093/nar/gkae1011,https://europepmc.org/article/MED/39494541,True,gold,not downloaded,,,,Europe PMC PDF: The read operation timed out | Unpaywall candidate: HTTP Error 403: Forbidden | Semantic Scholar: HTTP Error 429:  | OpenAlex PDF: HTTP Error 403: Forbidden | Crossref PDF candidate: HTTP Error 403: Forbidden
12,10.1038/s41592-020-0955-0,MassIVE.quant: a community resource of quantitative mass spectrometry-based proteomics datasets.,Nature Methods,2020,981-984,32929271,PMC7541731,https://doi.org/10.1038/s41592-020-0955-0,https://europepmc.org/article/MED/32929271,True,green,not downloaded,,,,Europe PMC PDF: The read operation timed out | Unpaywall candidate: not PDF; content-type=text/html; charset=utf-8; final=https://pmc.ncbi.nlm.nih.gov/articles/PMC7541731/ | Semantic Scholar: HTTP Error 429:  | Crossref PDF candidate: not PDF; content-type=text/html; charset=utf-8; final=https://www.nature.com/articles/s41592-020-0955-0.pdf | Crossref PDF candidate: not PDF; content-type=text/html; charset=utf-8; final=https://www.nature.com/articles/s41592-020-0955-0.pdf
13,10.1093/nar/gkab1081,iProX in 2021: connecting proteomics data sharing with big data.,Nucleic Acids Research,2022,D1522-D1527,34871441,PMC8728291,https://doi.org/10.1093/nar/gkab1081,https://europepmc.org/article/MED/34871441,True,gold,not downloaded,,,,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: HTTP Error 403: Forbidden | Semantic Scholar: HTTP Error 429:  | OpenAlex PDF: HTTP Error 403: Forbidden | Crossref PDF candidate: HTTP Error 403: Forbidden
14,10.1158/2767-9764.CRC-24-0243,NCI’s Proteomic Data Commons: A Cloud-Based Proteomics Repository Empowering Comprehensive Cancer Analysis through Cross-Referencing with Genomic and Imaging Data,Cancer Research Communications,2024,2480-2488,,,https://doi.org/10.1158/2767-9764.CRC-24-0243,,True,gold,not downloaded,,,,Europe PMC: HTTP Error 504: Gateway Time-out | Unpaywall candidate: HTTP Error 403: Forbidden | Semantic Scholar: HTTP Error 429:  | OpenAlex PDF: HTTP Error 403: Forbidden | Crossref PDF candidate: HTTP Error 403: Forbidden | Crossref PDF candidate: HTTP Error 403: Forbidden
15,10.1158/2159-8290.CD-13-0219,Connecting genomic alterations to cancer biology with proteomics: the NCI Clinical Proteomic Tumor Analysis Consortium.,Cancer Discovery,2013,1108-1112,24124232,PMC3800055,https://doi.org/10.1158/2159-8290.CD-13-0219,https://europepmc.org/article/MED/24124232,True,bronze,not downloaded,,,,Europe PMC PDF: The read operation timed out | Unpaywall candidate: not PDF; content-type=text/html; final=https://cancerdiscovery.aacrjournals.org/content/candisc/3/10/1108.full.pdf | Semantic Scholar: HTTP Error 429:  | OpenAlex PDF: not PDF; content-type=text/html; final=https://cancerdiscovery.aacrjournals.org/content/candisc/3/10/1108.full.pdf | Crossref PDF candidate: HTTP Error 403: Forbidden
16,10.1038/nature13438,Proteogenomic characterization of human colon and rectal cancer.,Nature,2014,382-387,25043054,PMC4249766,https://doi.org/10.1038/nature13438,https://europepmc.org/article/MED/25043054,False,closed,downloaded,stage5,https://pdf.core.ac.uk/corefilesystem/pdf/178/78064765.pdf?se=2026-07-14T21%3A12%3A34Z&sp=r&sv=2026-06-06&sr=b&rscd=inline%3B%20filename%3D%2278064765.pdf%22&rsct=application/pdf&sig=elVX9vbIwSC9ZsqIX8dioDx2hyi9LTxzZ3LVee%2B42ic%3D,C:\Users\Arina1996\Desktop\статья тмт атлас\TMT_38_articles_downloader\TMT_articles\PDF\16_2014_Proteogenomic characterization of human colon and rectal cancer.pdf,Europe PMC PDF: HTTP Error 404:  | Semantic Scholar: HTTP Error 429:  | Crossref PDF candidate: not PDF; content-type=text/html; charset=utf-8; final=https://www.nature.com/articles/nature13438.pdf | Crossref PDF candidate: not PDF; content-type=text/html; charset=utf-8; final=https://www.nature.com/articles/nature13438.pdf
17,10.1038/nature18003,Proteogenomics connects somatic mutations to signalling in breast cancer.,Nature,2016,55-62,27251275,PMC5102256,https://doi.org/10.1038/nature18003,https://europepmc.org/article/MED/27251275,True,green,not downloaded,,,,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: HTTP Error 405: Not Allowed | Semantic Scholar PDF: HTTP Error 405: Not Allowed | Crossref PDF candidate: not PDF; content-type=text/html; charset=utf-8; final=https://www.nature.com/articles/nature18003.pdf | Crossref PDF candidate: not PDF; content-type=text/html; charset=utf-8; final=https://www.nature.com/articles/nature18003.pdf
18,10.1016/j.cell.2020.10.036,Proteogenomic Landscape of Breast Cancer Tumorigenesis and Targeted Therapy.,Cell,2020,1436-1456.e31,33212010,PMC8077737,https://doi.org/10.1016/j.cell.2020.10.036,https://europepmc.org/article/MED/33212010,True,bronze,downloaded,stage5,https://pdf.core.ac.uk/corefilesystem/pdf/10523/385952125.pdf?se=2026-07-14T21%3A13%3A44Z&sp=r&sv=2026-06-06&sr=b&rscd=inline%3B%20filename%3D%22385952125.pdf%22&rsct=application/pdf&sig=eUmDreDK6zgdwMUL2yAx1QtNfbLv%2B0jztbufbs7lzuk%3D,C:\Users\Arina1996\Desktop\статья тмт атлас\TMT_38_articles_downloader\TMT_articles\PDF\18_2020_Proteogenomic Landscape of Breast Cancer Tumorigenesis and Targeted Therapy.pdf,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: HTTP Error 403: Forbidden | Semantic Scholar: HTTP Error 429:  | OpenAlex PDF: HTTP Error 403: Forbidden
19,10.1016/j.cell.2019.10.007,Integrated Proteogenomic Characterization of Clear Cell Renal Cell Carcinoma.,Cell,2019,964-983.e31,31675502,PMC7331093,https://doi.org/10.1016/j.cell.2019.10.007,https://europepmc.org/article/MED/31675502,True,hybrid,downloaded,stage5,https://pdf.core.ac.uk/corefilesystem/pdf/1286/362222532.pdf?se=2026-07-14T21%3A14%3A15Z&sp=r&sv=2026-06-06&sr=b&rscd=inline%3B%20filename%3D%22362222532.pdf%22&rsct=application/pdf&sig=FBEJOG%2BpX4TZTW8BnbrCNgiiTbkw4tdNKIND8ms22uA%3D,C:\Users\Arina1996\Desktop\статья тмт атлас\TMT_38_articles_downloader\TMT_articles\PDF\19_2019_Integrated Proteogenomic Characterization of Clear Cell Renal Cell Carcinoma.pdf,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: not PDF; content-type=text/html;charset=utf-8; final=https://linkinghub.elsevier.com/retrieve/pii/S0092867419311237 | Semantic Scholar: HTTP Error 429:  | OpenAlex PDF: not PDF; content-type=text/html; charset=utf-8; final=https://digitalcommons.wustl.edu/open_access_pubs/9899/
20,10.1016/j.cell.2019.03.030,Proteogenomic Analysis of Human Colon Cancer Reveals New Therapeutic Opportunities.,Cell,2019,1035-1049.e19,31031003,PMC6768830,https://doi.org/10.1016/j.cell.2019.03.030,https://europepmc.org/article/MED/31031003,True,hybrid,downloaded,stage5,https://pdf.core.ac.uk/corefilesystem/pdf/10523/300327609.pdf?se=2026-07-14T21%3A14%3A58Z&sp=r&sv=2026-06-06&sr=b&rscd=inline%3B%20filename%3D%22300327609.pdf%22&rsct=application/pdf&sig=iLdVnENohasxz8BQf%2BHJVvasQwxwFVeQhpw6TjupYSA%3D,C:\Users\Arina1996\Desktop\статья тмт атлас\TMT_38_articles_downloader\TMT_articles\PDF\20_2019_Proteogenomic Analysis of Human Colon Cancer Reveals New Therapeutic Opportunities.pdf,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: HTTP Error 403: Forbidden | Semantic Scholar: HTTP Error 429:  | OpenAlex PDF: HTTP Error 403: Forbidden
21,10.1016/j.cell.2020.01.026,Proteogenomic Characterization of Endometrial Carcinoma.,Cell,2020,729-748.e26,32059776,PMC7233456,https://doi.org/10.1016/j.cell.2020.01.026,https://europepmc.org/article/MED/32059776,True,hybrid,downloaded,stage5,https://pdf.core.ac.uk/corefilesystem/pdf/1286/548483975.pdf?se=2026-07-14T21%3A15%3A36Z&sp=r&sv=2026-06-06&sr=b&rscd=inline%3B%20filename%3D%22548483975.pdf%22&rsct=application/pdf&sig=4HkD8xnP4esefCAXSG3AktHI/ogpWaBB%2BX1WeQn3i7s%3D,C:\Users\Arina1996\Desktop\статья тмт атлас\TMT_38_articles_downloader\TMT_articles\PDF\21_2020_Proteogenomic Characterization of Endometrial Carcinoma.pdf,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: not PDF; content-type=text/html;charset=utf-8; final=https://linkinghub.elsevier.com/retrieve/pii/S0092867420301070 | Semantic Scholar: HTTP Error 429: 
22,10.1016/j.cell.2020.06.013,Proteogenomic Characterization Reveals Therapeutic Vulnerabilities in Lung Adenocarcinoma.,Cell,2020,200-225.e35,32649874,PMC7373300,https://doi.org/10.1016/j.cell.2020.06.013,https://europepmc.org/article/MED/32649874,True,hybrid,downloaded,stage2 curl_cffi,https://www.cell.com/cell/pdf/S0092-8674(20)30744-3.pdf,C:\Users\Arina1996\Desktop\статья тмт атлас\TMT_38_articles_downloader\TMT_articles\PDF\22_2020_Proteogenomic Characterization Reveals Therapeutic Vulnerabilities in Lung Adenocarcinoma.pdf,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: HTTP Error 403: Forbidden | Semantic Scholar PDF: HTTP Error 403: Forbidden | OpenAlex PDF: HTTP Error 403: Forbidden
23,10.1016/j.cell.2021.07.016,A proteogenomic portrait of lung squamous cell carcinoma.,Cell,2021,4348-4371.e40,34358469,PMC8475722,https://doi.org/10.1016/j.cell.2021.07.016,https://europepmc.org/article/MED/34358469,True,bronze,not downloaded,,,,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: HTTP Error 403: Forbidden | Semantic Scholar: HTTP Error 429:  | OpenAlex PDF: HTTP Error 403: Forbidden
24,10.1016/j.ccell.2020.12.007,Proteogenomic insights into the biology and treatment of HPV-negative head and neck squamous cell carcinoma.,Cancer Cell,2021,361-379.e16,33417831,PMC7946781,https://doi.org/10.1016/j.ccell.2020.12.007,https://europepmc.org/article/MED/33417831,True,green,not downloaded,,,,Europe PMC PDF: The read operation timed out | Unpaywall candidate: not PDF; content-type=text/html; charset=utf-8; final=https://pmc.ncbi.nlm.nih.gov/articles/PMC7946781/ | Semantic Scholar: HTTP Error 429: 
25,10.1016/j.ccell.2021.01.006,Proteogenomic and metabolomic characterization of human glioblastoma.,Cancer Cell,2021,509-528.e20,33577785,PMC8044053,https://doi.org/10.1016/j.ccell.2021.01.006,https://europepmc.org/article/MED/33577785,True,bronze,not downloaded,,,,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: HTTP Error 403: Forbidden | Semantic Scholar: HTTP Error 429:  | OpenAlex PDF: HTTP Error 403: Forbidden
26,10.1016/j.cell.2021.08.023,Proteogenomic characterization of pancreatic ductal adenocarcinoma.,Cell,2021,5031-5052.e26,34534465,PMC8654574,https://doi.org/10.1016/j.cell.2021.08.023,https://europepmc.org/article/MED/34534465,True,hybrid,not downloaded,,,,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: not PDF; content-type=text/html;charset=utf-8; final=https://linkinghub.elsevier.com/retrieve/pii/S0092867421009971 | Semantic Scholar: HTTP Error 429: 
27,10.1016/j.ccell.2023.06.009,Proteogenomic data and resources for pan-cancer analysis.,Cancer Cell,2023,1397-1406,37582339,PMC10506762,https://doi.org/10.1016/j.ccell.2023.06.009,https://europepmc.org/article/MED/37582339,True,hybrid,downloaded,stage5,https://pdf.core.ac.uk/corefilesystem/pdf/1325/650176726.pdf?se=2026-07-14T21%3A17%3A23Z&sp=r&sv=2026-06-06&sr=b&rscd=inline%3B%20filename%3D%22650176726.pdf%22&rsct=application/pdf&sig=%2B2kVnhVv7o8759aVoo/uDTe7Gm%2BbRCxkvuIDVxIBZB0%3D,C:\Users\Arina1996\Desktop\статья тмт атлас\TMT_38_articles_downloader\TMT_articles\PDF\27_2023_Proteogenomic data and resources for pan-cancer analysis.pdf,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: HTTP Error 403: Forbidden | Semantic Scholar: HTTP Error 429:  | OpenAlex PDF: HTTP Error 403: Forbidden
28,10.1021/pr501254j,The CPTAC Data Portal: A Resource for Cancer Proteomics Research.,Journal of Proteome Research,2015,2707-2713,25873244,,https://doi.org/10.1021/pr501254j,https://europepmc.org/article/MED/25873244,False,closed,not downloaded,,,,Semantic Scholar: HTTP Error 429: 
29,10.1016/j.cell.2018.03.022,"Cell-of-Origin Patterns Dominate the Molecular Classification of 10,000 Tumors from 33 Types of Cancer.",Cell,2018,291-304.e6,29625048,PMC5957518,https://doi.org/10.1016/j.cell.2018.03.022,https://europepmc.org/article/MED/29625048,True,bronze,downloaded,stage2 curl_cffi,https://www.cell.com/cell/pdf/S0092-8674(18)30302-7.pdf,"C:\Users\Arina1996\Desktop\статья тмт атлас\TMT_38_articles_downloader\TMT_articles\PDF\29_2018_Cell-of-Origin Patterns Dominate the Molecular Classification of 10,000 Tumors from 33 Types of Cancer.pdf",Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: HTTP Error 403: Forbidden | Semantic Scholar PDF: HTTP Error 403: Forbidden | OpenAlex PDF: HTTP Error 403: Forbidden
30,10.1016/j.cell.2020.08.036,A Quantitative Proteome Map of the Human Body.,Cell,2020,269-283.e19,32916130,PMC7575058,https://doi.org/10.1016/j.cell.2020.08.036,https://europepmc.org/article/MED/32916130,True,bronze,not downloaded,,,,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: HTTP Error 403: Forbidden | Semantic Scholar PDF: HTTP Error 404:  | OpenAlex PDF: HTTP Error 403: Forbidden
31,10.1126/science.aaz1776,The GTEx Consortium atlas of genetic regulatory effects across human tissues.,Science,2020,1318-1330,32913098,PMC7737656,https://doi.org/10.1126/science.aaz1776,https://europepmc.org/article/MED/32913098,True,bronze,downloaded,stage2 curl_cffi,https://discovery.dundee.ac.uk/ws/files/52035077/GTEx_Main_paper.pdf,C:\Users\Arina1996\Desktop\статья тмт атлас\TMT_38_articles_downloader\TMT_articles\PDF\31_2020_The GTEx Consortium atlas of genetic regulatory effects across human tissues.pdf,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: HTTP Error 403: Forbidden | Semantic Scholar: HTTP Error 429:  | OpenAlex PDF: HTTP Error 403: Forbidden
32,10.1016/j.cell.2019.12.023,Quantitative Proteomics of the Cancer Cell Line Encyclopedia.,Cell,2020,387-402.e16,31978347,PMC7339254,https://doi.org/10.1016/j.cell.2019.12.023,https://europepmc.org/article/MED/31978347,True,bronze,not downloaded,,,,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: HTTP Error 403: Forbidden | Semantic Scholar: HTTP Error 429:  | OpenAlex PDF: HTTP Error 403: Forbidden
33,10.1038/s41586-019-1186-3,Next-generation characterization of the Cancer Cell Line Encyclopedia.,Nature,2019,503-508,31068700,PMC6697103,https://doi.org/10.1038/s41586-019-1186-3,https://europepmc.org/article/MED/31068700,True,green,not downloaded,,,,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: not PDF; content-type=text/html; charset=utf-8; final=https://pmc.ncbi.nlm.nih.gov/articles/PMC6697103/ | Semantic Scholar PDF: not PDF; content-type=text/html; charset=utf-8; final=https://pmc.ncbi.nlm.nih.gov/articles/PMC6697103/ | Crossref PDF candidate: not PDF; content-type=text/html; charset=utf-8; final=https://www.nature.com/articles/s41586-019-1186-3.pdf | Crossref PDF candidate: not PDF; content-type=text/html; charset=utf-8; final=https://www.nature.com/articles/s41586-019-1186-3.pdf
34,10.1002/mas.21860,Tissue proteomics repositories for data reanalysis.,Mass Spectrometry Reviews,2024,1270-1284,37534389,,https://doi.org/10.1002/mas.21860,https://europepmc.org/article/MED/37534389,True,hybrid,not downloaded,,,,Unpaywall candidate: HTTP Error 403: Forbidden | Semantic Scholar PDF: HTTP Error 403: Forbidden | OpenAlex PDF: HTTP Error 403: Forbidden
35,10.3390/proteomes14020016,Beyond Reanalysis: Critical Issues in Data Reuse for Solid Tumor Proteomics.,Proteomes,2026,16,42029488,PMC13108149,https://doi.org/10.3390/proteomes14020016,https://europepmc.org/article/MED/42029488,True,gold,not downloaded,,,,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: HTTP Error 403: Forbidden | Semantic Scholar: HTTP Error 429:  | OpenAlex PDF: HTTP Error 403: Forbidden
36,10.1038/s41597-021-00890-2,An integrated landscape of protein expression in human cancer.,Scientific Data,2021,115,33893311,PMC8065022,https://doi.org/10.1038/s41597-021-00890-2,https://europepmc.org/article/MED/33893311,True,gold,downloaded,stage2 curl_cffi,https://www.nature.com/articles/s41597-021-00890-2.pdf,C:\Users\Arina1996\Desktop\статья тмт атлас\TMT_38_articles_downloader\TMT_articles\PDF\36_2021_An integrated landscape of protein expression in human cancer.pdf,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: not PDF; content-type=text/html; charset=utf-8; final=https://www.nature.com/articles/s41597-021-00890-2.pdf | Semantic Scholar: HTTP Error 429:  | OpenAlex PDF: not PDF; content-type=text/html; charset=utf-8; final=https://www.nature.com/articles/s41597-021-00890-2.pdf | Crossref PDF candidate: not PDF; content-type=text/html; charset=utf-8; final=https://www.nature.com/articles/s41597-021-00890-2.pdf | Crossref PDF candidate: not PDF; content-type=text/html; charset=utf-8; final=https://www.nature.com/articles/s41597-021-00890-2.pdf
37,10.1371/journal.pcbi.1011828,Integrated meta-analysis of colorectal cancer public proteomic datasets for biomarker discovery and validation,PLOS Computational Biology,2024,e1011828,,,https://doi.org/10.1371/journal.pcbi.1011828,,,,downloaded,already present,,C:\Users\Arina1996\Desktop\статья тмт атлас\TMT_38_articles_downloader\TMT_articles\PDF\37_2024_Integrated meta-analysis of colorectal cancer public proteomic datasets for biomarker discovery and validation.pdf,
38,10.1021/acs.jproteome.4c00788,Integrated View of Baseline Protein Expression in Human Tissues Using Public Data Independent Acquisition Data Sets.,Journal of Proteome Research,2025,685-695,39764611,PMC11811993,https://doi.org/10.1021/acs.jproteome.4c00788,https://europepmc.org/article/MED/39764611,True,hybrid,downloaded,stage2 curl_cffi,https://pubs.acs.org/doi/pdf/10.1021/acs.jproteome.4c00788?ref=article_openPDF,C:\Users\Arina1996\Desktop\статья тмт атлас\TMT_38_articles_downloader\TMT_articles\PDF\38_2025_Integrated View of Baseline Protein Expression in Human Tissues Using Public Data Independent Acquisition Data Sets.pdf,Europe PMC PDF: HTTP Error 404:  | Unpaywall candidate: HTTP Error 403: Forbidden | Semantic Scholar: HTTP Error 429:  | OpenAlex PDF: HTTP Error 403: Forbidden | Crossref PDF candidate: HTTP Error 403: Forbidden
