Database,Project ID,PMID,Title,Total Samples,preCancer,Case Cancer Untreated,Case Cancer Treated,Control Healthy,Healthy Treated,Patients / donors,Tissue Cell Type Detailed,Sample Type,Tissue,Organ,Tumor Type,Cell Line Name,Cell Line Cancer;Normal,Cell Line Organ,Tumor type for cell lines,Tissue for cell lines,Disease,Disease Subtype,Experimental Design,Short Description,Platform MS (Unified),TMT Label (Unified),Proteins Quantified,TMT Channels Used,TMT Channels Comparison,TMT Additional Channels,Samples Original N,Samples Used N,Normalization Strategy,Z-Score Level,Z-Score Scope,FASTA (Unified),FASTA Year,Modifications,FDR (Unified %),Result Files,URL,Main_Finding,Data_Caveats,Quantification_Format
PDC,PDC000360,37541199,Proteogenomic analysis of chemo-refractory high-grade serous ovarian cancer,168,0.0,168.0,0.0,0,0.0,178,Primary formalin-fixed paraffin-embedded ovarian high-grade serous carcinoma tumor tissues from female patients with stage II–IV disease,Tissue,Ovary,Ovary,High-Grade Serous Ovarian Carcinoma,,,,,,High-Grade Serous Ovarian Carcinoma,Treatment-naive high-grade serous ovarian carcinoma,TMT11-based LC-MS/MS global proteome profiling of pre-treatment FFPE primary HGSOC tumor tissues,FFPE validation proteome cohort of primary untreated HGSOC tumor samples analyzed using CPTAC harmonized TMT11 proteomics workflow,Orbitrap Fusion Lumos,TMT 11-plex,9235.0,11,126–131N = FFPE tumor samples (10 per plex),131C = pooled reference,161.0,161,CDAP; FFPE-adjusted norm; log2 ratio,Gene,Per study,RefSeq,2018.0,"Fixed: Carbamidomethyl (C); TMT10 labeling (K, peptide N-terminus). Variable: Oxidation (M).",0.01,result_PDC000360.xlsx,https://pdc.cancer.gov/pdc/study/PDC000360,"Large-scale TMT11 proteome profiling of treatment-naive FFPE HGSOC tumors identified proteomic subtypes and molecular programs associated with platinum refractoriness, including immune remodeling, extracellular matrix organization, EMT, hypoxia, metabolism, and TGF-β signaling, and enabled development of a 64-protein predictive signature",FFPE archival tissue may reduce proteome and PTM coverage; cohort includes both primary and metastatic lesions with substantial biological heterogeneity; analyses are observational and derived from bulk tumor proteomes rather than therapy-perturbation experiments,Normalized
PDC,PDC000362,37541199,Proteogenomic analysis of chemo-refractory high-grade serous ovarian cancer,72,0.0,72.0,0.0,0,0.0,82,Primary frozen high-grade serous ovarian carcinoma tumor tissues from female patients with stage II–IV disease,Tissue,Ovary,Ovary,High-Grade Serous Ovarian Carcinoma,,,,,,High-Grade Serous Ovarian Carcinoma,Treatment-naive high-grade serous ovarian carcinoma,TMT11-based LC-MS/MS global proteome profiling of pre-treatment frozen HGSOC tumor tissues using CPTAC harmonized workflow,Frozen validation proteome cohort of untreated HGSOC tumors analyzed to validate proteomic molecular features and platinum-response-associated signatures identified in the discovery cohort,Orbitrap Fusion Lumos,TMT 11-plex,8081.0,11,126–131N = tumor samples (10 per plex),131C = pooled reference,66.0,66,Median norm; log2 ratio,Gene,Per study,UniProt,2018.0,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M).",0.01,result_PDC000362.xlsx,https://pdc.cancer.gov/pdc/study/PDC000362,"Frozen-tissue TMT11 proteome profiling validated proteomic programs and molecular signatures associated with platinum refractoriness in HGSOC, including immune remodeling, extracellular matrix organization, EMT, hypoxia, and metabolic pathway alterations identified in the discovery cohort",Cohort consists of heterogeneous bulk tumor tissues from advanced-stage HGSOC patients; analyses are observational and based on pre-treatment samples without therapy perturbation; partial overlap with the discovery cohort may reduce complete external independence of validation,Normalized
PDC,PDC000393,36266629,Neoplastic cell enrichment of tumor tissues using coring and laser microdissection for proteomic and genomic analyses of pancreatic ductal adenocarcinoma,27,0.0,18.0,0.0,0,9.0,6,"Primary pancreatic ductal adenocarcinoma tumor tissues and matched normal adjacent pancreatic tissues processed using bulk sampling, tissue coring, and laser microdissection (LMD)",Tissue,Pancreas,Pancreas,Pancreatic Ductal Adenocarcinoma,,,,,,Pancreatic ductal adenocarcinoma,PDAC with variable neoplastic cellularity and stromal composition,"TMT10-based quantitative proteomics and whole-exome sequencing of PDAC tumors and matched normal adjacent tissues processed using bulk sampling, tissue coring, and laser microdissection (LMD) to evaluate neoplastic cell enrichment effects on proteogenomic profiling","Comparative proteogenomic study assessing how bulk tissue sampling, coring, and laser microdissection influence tumor cellularity, KRAS mutation enrichment, and proteomic composition in pancreatic ductal adenocarcinoma",Orbitrap Fusion Lumos,TMT 10-plex,7411.0,10,126–130C = LCM/macro samples,131 = pooled reference,7.0,7,Median norm; log2 ratio,Gene,Per study,RefSeq,2018.0,"Fixed: Carbamidomethyl (C); TMT10 labeling (K, peptide N-terminus). Variable: Oxidation (M).",0.01,result_PDC000393.xlsx,https://pdc.cancer.gov/pdc/study/PDC000393,"Laser microdissection (LMD) provided the strongest enrichment of neoplastic cellularity and produced the most distinct proteomic profile compared with bulk and cored PDAC tissues. Bulk and coring samples showed highly similar proteomic patterns, while LMD improved KRAS mutation enrichment, especially in low-cellularity tumors. Distinct PDAC-associated proteins including COL17A1, VSNL1, LYPD3, and VCAN were preferentially identified in LMD-enriched samples.","Small cohort size with only 3 paired PDAC/NAT cases for proteomics and 8 tumors for KRAS/WES validation limits statistical power. Bulk tumors contained substantial stromal and non-neoplastic contamination due to highly variable tumor cellularity characteristic of PDAC. Sampling strategy strongly affected detected protein composition, complicating interpretation of tumor-specific signals. Coring failed to effectively enrich neoplastic cells in low-cellularity tumors, whereas LMD produced limited material yield and may introduce preparation-related bias. Metadata structure in PDC incompletely annotates sampling strategy and replicate relationships.",Normalized
PDC,PDC000398,35896960,Proteomic and phosphoproteomic measurements enhance ability to predict ex vivo drug response in AML,16,0.0,10.0,6.0,0,0.0,16,"Primary AML patient-derived mononuclear/cancer cells from bone marrow and peripheral blood, including post-treatment samples",Primary cells,Bone marrow; peripheral blood,Hematopoietic system,Acute Myeloid Leukemia (AML),,,,,,Acute Myeloid Leukemia (AML),Primary AML blood/bone marrow cancer samples with ex vivo drug-response profiling; untreated and post-treatment samples,TMT10-based LC–MS/MS global proteome profiling of primary AML patient-derived bone marrow and peripheral blood cancer samples from the Beat AML/PTRC cohort. Two baseline TMT10 plexes were analyzed with 24 fractions per plex; patient channels were quantified relative to reference channels.,"Proteomic profiling of primary AML patient samples to evaluate whether protein-level signatures improve prediction of ex vivo drug sensitivity, especially for targeted AML therapies such as quizartinib/FLT3 and trametinib/Ras–MEK pathway inhibition.",Orbitrap Fusion Lumos,TMT 10-plex,7015.0,10,126–130C = patient samples (9 per plex),131 = pooled reference,32.0,32,CDAP; median norm; log2 ratio,Gene,Per study,RefSeq,2018.0,"Fixed: Carbamidomethyl (C); TMT10 labeling (K, peptide N-terminus). Variable: Oxidation (M).",0.01,result_PDC000398.xlsx,https://pdc.cancer.gov/pdc/study/PDC000398,"Proteomic profiling of primary AML patient-derived blood/bone marrow samples supported prediction of ex vivo drug sensitivity. Protein-level signatures were informative for AML drug-response modeling, especially for targeted agents such as quizartinib/FLT3 and trametinib/Ras–MEK pathway inhibition.","Small pilot proteome cohort; PDC000398 contains 16 patient samples in the TMT channel mapping, with no healthy controls. Untreated and post-treatment AML samples are mixed. Samples are primary patient-derived AML cells, not cell lines. Cell lines MOLM13/MOLM14 are discussed in the publication only as validation models, not as the main PDC000398 biospecimens.",Normalized
PDC,PDC000400,35896960,Proteomic and phosphoproteomic measurements enhance ability to predict ex vivo drug response in AML,4,0.0,2.0,2.0,0,0.0,4,"AML patient-derived blood cancer cells; peripheral blood AML samples, including baseline and post-treatment aliquots",Primary cells,Bone marrow; peripheral blood,Hematopoietic system,Acute Myeloid Leukemia (AML),,,,,,Acute Myeloid Leukemia (AML),"Acute myeloid leukemia; mainly AML with mutated NPM1, with one case annotated as acute myeloid leukemia with minimal differentiation","TMT10-based global proteome profiling of AML patient-derived peripheral blood cancer samples in an ex vivo sorafenib-treatment drug-response setting. The dataset includes two TMT10 plexes, 12 fractions per plex, 4 biological AML patients, 16 AML aliquots, and Universal Ref channels for normalization.",Small PTRC/Beat AML proteomics substudy measuring protein abundance in baseline and post-treatment AML peripheral blood-derived cancer samples to support analysis of ex vivo sorafenib-associated drug response.,Orbitrap Fusion Lumos,TMT 10-plex,6483.0,10,126–130C = treated samples,131 = pooled reference,16.0,16,CDAP; median norm; log2 ratio,Gene,Per study,RefSeq,2018.0,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M).",0.01,result_PDC000400.xlsx,https://pdc.cancer.gov/pdc/study/PDC000400,Proteomic profiling of AML ex vivo sorafenib-treatment samples provides TMT10-based protein abundance data for drug-response signature analysis; broader PTRC/Beat AML analysis showed added predictive value of proteomic/phosphoproteomic measurements for AML drug sensitivity.,"Small N; 4 AML patients plus Universal Ref; no healthy controls; no tumor-normal design; 16 samples are aliquots from 4 patients, not independent patients; post-treatment reflects ex vivo sorafenib exposure; Log Ratio/Unshared Log Ratio are duplicated metrics, not separate samples.",Normalized
PDC,PDC000402,35896960,Proteomic and phosphoproteomic measurements enhance ability to predict ex vivo drug response in AML,20,0.0,15.0,5.0,0,0.0,19,AML patient-derived leukemic mononuclear cells from bone marrow and peripheral blood,Primary cells,Bone marrow; peripheral blood,Hematopoietic system,Acute Myeloid Leukemia (AML),,,,,,Acute Myeloid Leukemia (AML),Acute myeloid leukemia; ex vivo combination-treatment drug-response cohort,"TMT11-based global proteome profiling of AML patient-derived blood and bone marrow cancer samples in an ex vivo combination-treatment drug-response study; 2 TMT11 plexes, 12 fractions per plex, 10 patient sample channels plus 1 universal reference channel per plex.","Proteome dataset of AML patient-derived leukemic samples from bone marrow and peripheral blood, including baseline/untreated blood-derived cancer samples and post-treatment peripheral blood cancer samples, used to assess protein-level signatures associated with ex vivo response to combination drug treatment.",Q Exactive HF-X,TMT 11-plex,6338.0,11,126–131N = treated samples (10 per plex),131C = pooled reference,20.0,20,CDAP; median norm; log2 ratio to pooled ref,Gene,Per study,RefSeq,2018.0,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M).",0.01,result_PDC000402.xlsx,https://pdc.cancer.gov/pdc/study/PDC000402,TMT11 proteome profiling of AML patient-derived blood/bone marrow samples identified protein-level signatures associated with ex vivo response to combination drug treatment. The dataset supports evaluation of proteomic predictors of AML therapeutic sensitivity beyond clinical metadata alone.,"Small pilot cohort; 20 patient sample channels but 19 unique patients/donors because 16-00278 is included in two TMT channels. Exposure status is inferred from PDC sample status: 5 post-treatment / combination-treatment exposed samples and 15 baseline / untreated sample channels. No healthy controls. Tumor grade, tumor stage, morphology and tumor classification are not reported. Universal reference channels are not patient samples.",Normalized
PDC,PDC000408,36001024,Proteogenomic markers of chemotherapy resistance and response in triple negative breast cancer,72,0.0,56.0,16.0,0,0.0,56,Triple-negative breast cancer primary tumor tissue,Tissue,Breast,Breast,Triple-negative breast cancer; Breast invasive carcinoma,,,,,,Breast invasive carcinoma,Triple-negative breast cancer (TNBC),"TMT11-based proteome profiling of primary TNBC tumor tissues collected at baseline before neoadjuvant carboplatin/docetaxel therapy and, for a subset of patients, at Cycle 1 Day 3 after treatment initiation. The design used 8 TMT11 plexes with 72 fractions per plex and common reference channels.",Proteomic analysis of primary TNBC tumor tissues to identify molecular features associated with response or resistance to neoadjuvant carboplatin/docetaxel therapy. Baseline tumor tissues represent untreated cancer samples; Cycle1Day3 tissues represent early on-treatment cancer samples.,Orbitrap Fusion Lumos,TMT 11-plex,8844.0,11,126–131N = tumor samples (10 per plex),131C = pooled reference,58.0,58,CDAP; median norm; log2 ratio,Gene,Per study,RefSeq,2018.0,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M).",0.01,result_PDC000408.xlsx,https://pdc.cancer.gov/pdc/study/PDC000408,"Proteomic profiling of primary TNBC tumor tissues showed that chemotherapy-resistant / non-pCR tumors were enriched for metabolic programs, including oxidative phosphorylation, fatty acid metabolism and glycolysis. Therapy-sensitive / pCR tumors showed higher DNA repair, E2F targets, G2/M checkpoint, interferon-gamma response and immune-checkpoint signatures. Proteogenomic analysis identified a resistance-associated 19q13.31–33 deletion involving LIG1, POLD1 and XRCC1; low LIG1 / LIG1 loss was linked to poor pathological response, chromosomal instability and carboplatin-selective resistance.","Dataset contains tumor tissues only; no healthy controls and no matched normal breast tissue. Baseline samples are untreated tumor tissues, while Cycle1Day3 samples are early on-treatment tumor tissues after carboplatin/docetaxel initiation. Reference channels Core CR and Pros BRCA CR should not be counted as patient samples. Some patients have both baseline and Cycle1Day3 samples, so aliquot/sample count exceeds patient count.",Normalized
PDC,PDC000434,36384096,"Proteogenomic analysis of lung adenocarcinoma reveals tumor heterogeneity, survival determinants, and therapeutically relevant pathways",100,0.0,100.0,0.0,0,0.0,100,Primary lung adenocarcinoma tumor tissue,Tissue,Lung tumor tissue,Lung,Lung Adenocarcinoma,,,,,,Lung adenocarcinoma,"Primary lung adenocarcinoma; LUAD molecular/expression subtypes including TRU, PI and PP","TMT11-based proteome profiling of primary LUAD tumor tissues, integrated in the study with WGS, RNA-seq, phosphoproteomics and RPPA","Proteogenomic study of primary lung adenocarcinoma tumors identifying molecular heterogeneity, RNA–protein relationships, survival-associated protein/RNA signatures and subtype-specific therapeutic vulnerabilities",Q Exactive HF,TMT 11-plex,9009.0,11,126–131N = tumor samples (10 per plex),131C = pooled reference,101.0,101,Median norm; log2 ratio,Gene,Per study,UniProt; RefSeq,2018.0,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M).",0.01,result_PDC000434.xlsx,https://pdc.cancer.gov/pdc/study/PDC000434,"Proteogenomic profiling of LUAD identified molecular heterogeneity, smoking-associated genomic subtypes, RNA/protein survival signatures, and subtype-specific therapeutic vulnerabilities including immune-checkpoint, EGFR-signaling, cell-cycle and metabolic pathways.","No matched normal lung proteome was analyzed in this proteome dataset; treatment-response data were limited; PDC lists 101 cases/aliquots, but the usable tumor cohort in the article is 87 cases and the annotation table contains duplicated tumor entries plus a Pool/reference entry.",Normalized
PDC,PDC000439,37567170,Proteogenomic insights suggest druggable pathways in endometrial carcinoma,160,0.0,140.0,0.0,20,0.0,159,Primary endometrial carcinoma tumor tissue and solid normal endometrial tissue,Tissue,Endometrium,Uterus,Uterine Corpus Endometrial Carcinoma,,,,,,Endometrial carcinoma,"Endometrioid, serous, clear cell; molecular/genomic subtypes: POLE ultramutated, MSI-H, CNV-L, CNV-H","Prospective CPTAC proteogenomic study of 138 endometrial carcinoma tumors and 20 enriched normal endometrium samples using 10 omics platforms: WGS, WES, methylation array, RNA-seq, miRNA-seq, targeted proteomics, global proteomics, phosphoproteomics, acetylproteomics, and glycoproteomics","Comprehensive proteogenomic analysis of an independent endometrial carcinoma cohort identifying clinically relevant molecular and imaging markers, including APM/SRM markers for immunotherapy stratification, PIK3R1 in-frame indels associated with AKT phosphorylation and AKT inhibitor sensitivity, MYC activity as a potential biomarker of metformin response, CTNNB1 hotspot mutations affecting Wnt/β-catenin signaling, PARP1/1q gain as a possible PARP inhibitor biomarker, and deep-learning prediction of EC subtypes from histopathology images.",Orbitrap Fusion Lumos,TMT 11-plex,10934.0,11,126–131N = tumor samples (10 per plex),131C = CompRef,159.0,159,CDAP; median norm; log2 ratio to CompRef,Gene,Per study,RefSeq,2018.0,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M).",0.01,result_PDC000439.xlsx,https://pdc.cancer.gov/pdc/study/PDC000439,"The study identified clinically relevant molecular and imaging markers for precision stratification of endometrial carcinoma, including: SRM-based APM markers for potential immunotherapy selection; PIK3R1 in-frame indels associated with increased AKT phosphorylation and sensitivity to AKT inhibitors; high MYC activity as a potential biomarker for metformin response; CTNNB1 hotspot mutations linked to altered Wnt/β-catenin signaling and possible resistance to Wnt-FZD antagonists; 1q/PARP1 gain as a possible biomarker of PARP inhibitor sensitivity; and deep-learning prediction of EC molecular subtypes and mutations from histopathology images.","Prospective CPTAC cohort with 140 EC tumors and 20 enriched normal endometrium samples; normal tissues were enriched normal endometrium from healthy donors, not necessarily matched adjacent normals for every tumor. Several therapeutic conclusions are biomarker-generating and require further clinical validation, especially SRM/APM prediction, MYC–metformin response, AKT inhibitor sensitivity for PIK3R1 indels, PARP inhibitor sensitivity for PARP1/1q gain, and histopathology deep-learning models",Normalized
PDC,PDC000446,38981438,Multi-scale signaling and tumor evolution in high-grade gliomas,149,0.0,115.0,26.0,4,0.0,116,Brain tumor tissue; glioblastoma / glioma tissue; includes primary and recurrent tumor tissue; some metastatic brain-resected tumor samples,Tissue,Brain tissue,Brain,Glioblastoma; high-grade glioma; brain metastasis,,,,,,Glioblastoma; Gliomas; Astrocytoma; Gliosarcoma; Meningioma; brain metastases,"High-grade glioma; primary GBM; recurrent GBM; IDH-mutant/IDH-wildtype status when available; brain metastases from lung, breast, uterus, colon/other primary sites;","TMT11-based LC–MS/MS proteome profiling of CPTAC GBM confirmatory samples; 24 fractions per TMT plex; channels include pooled reference, primary tumors, recurrent tumors, metastatic brain-resected tumors, and solid tissue normal controls","Proteomic profiling of GBM/high-grade glioma cohort with primary and recurrent tumor specimens, limited normal brain tissue controls, and a subset of brain metastasis samples. The study is designed to characterize tumor evolution, recurrence-associated proteomic changes, and molecular heterogeneity in glioblastoma.",Orbitrap Fusion Lumos,TMT 11-plex,11159.0,11,126–131N = tumor samples (10 per plex),131C = CompRef (pooled normal brain),118.0,118,CDAP; median norm; log2 ratio to CompRef,Gene,Per study,RefSeq,2018.0,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M).",0.01,result_PDC000446.xlsx,https://pdc.cancer.gov/pdc/study/PDC000446,"The study identifies proteomic features associated with GBM biology and tumor evolution, including differences between primary and recurrent tumors, recurrence-related signaling changes, IDH-associated molecular differences, and pathway-level alterations involving RTK signaling, EGFR, PTEN/TERT-related downstream effects, and PTPN11-centered signaling networks.","The proteome cohort is heterogeneous: it includes primary GBM/high-grade glioma samples, recurrent tumors, limited solid tissue normal controls, and brain metastasis samples from non-GBM primary cancers. Treatment/exposure information is not available for all samples in the channel mapping table; it appears mainly in the clinical annotation for a subset of recurrent/CHOP retrospective cases. Therefore, treatment-related conclusions should be made only for samples with explicit treatment metadata, not for the entire TMT proteome cohort.",Normalized
PDC,PDC000464,38703764,Comprehensive proteogenomic characterization of rare kidney tumors,68,0.0,49.0,19.0,0,0.0,41,Primary kidney tumor tissue and adjacent normal kidney tissue from renal cell carcinoma cohort,Tissue,Kidney tissue,Kidney,Non-clear cell renal cell carcinoma; renal oncocytoma; other rare renal tumors,,,,,,Kidney cancer,Non-clear cell kidney cancer; clear cell kidney cancer; papillary kidney cancer; chromophobe kidney cancer; renal oncocytoma; other rare kidney tumors,"Tandem mass tag 11-plex proteome profiling using liquid chromatography with tandem mass spectrometry; integrated with phosphoproteome, glycoproteome, metabolome, genome, transcriptome, methylation and single-nucleus transcriptome data","Proteomic analysis of rare kidney tumors and non-clear cell kidney cancer subtypes to compare protein abundance profiles between tumor subtypes and adjacent normal tissue, define subtype-specific proteomic signatures, and identify candidate diagnostic and prognostic protein biomarkers.",Orbitrap Fusion Lumos,TMT 11-plex,8317.0,11,126–131N = tumor samples (10 per plex),131C = CompRef,44.0,44,CDAP; median norm; log2 ratio to CompRef,Gene,Per study,RefSeq,2018.0,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M).",0.01,result_PDC000464.xlsx,https://pdc.cancer.gov/pdc/study/PDC000464,"TMT11 proteomic profiling identified subtype-specific protein abundance patterns in rare kidney tumors. The study detected 12,299 proteins, with 9,528 proteins quantified in more than half of samples, and showed clear proteomic separation between tumor subtypes and normal adjacent tissues. Key protein biomarkers included PYCR1 and IGF2BP3 for genome instability, MAPRE3 and ADGRF5 for renal oncocytoma, GPNMB for chromophobe kidney cancer, and PIGR and SOSTDC1 for papillary kidney cancer.","Proteomic dataset is limited by small sample size for several rare kidney tumor subtypes, with some subtypes represented by only one or two samples. PDC000464 contains the proteome component, while several conclusions in the article rely on integration with additional omics layers and related cohorts. Therefore, subtype-specific proteomic biomarkers and pathway signatures should be considered exploratory and require validation in independent cohorts.",Normalized
PDC,PDC000477,38232702,Mapping the proteogenomic landscape enables prediction of drug response in acute myeloid leukemia,186,0.0,128.0,58.0,0,0.0,210,Freshly isolated primary acute myeloid leukemia blasts; mononuclear leukemia cells,Primary cells,Bone marrow; peripheral blood; leukapheresis sample,Hematopoietic and reticuloendothelial system,Acute myeloid leukemia; myelodysplastic syndromes; non-specified leukemia cases included in the cohort,,,,,,Acute Myeloid Leukemia (AML),Acute myeloid leukemia; myelodysplastic syndromes; non-specified leukemia cases included in the cohort,"Tandem mass tag 11-plex global proteome profiling of primary patient-derived leukemia cells by liquid chromatography with tandem mass spectrometry; paired phosphoproteome data were generated in the related study; proteomic data were integrated in the article with whole-exome sequencing, RNA sequencing, clinical annotation and ex vivo drug sensitivity screening across small-molecule inhibitors","Proteogenomic study of primary acute myeloid leukemia patient samples from the Beat AML cohort. The study used proteome and phosphoproteome measurements to define four proteogenomic leukemia subtypes, compare them with genetic classifications, and link subtype structure to ex vivo drug-response patterns, including response models for venetoclax, panobinostat and other inhibitors. PDC000477 represents the global proteome component of the study",Orbitrap Fusion Lumos,TMT 11-plex,9149.0,11,126–131N = patient samples (10 per plex),131C = pooled reference,211.0,211,CDAP pipeline; median normalization; log2 ratio to pooled ref,Gene,Per study,UniProt; RefSeq,2023.0,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M).",0.01,result_PDC000477.xlsx,https://pdc.cancer.gov/pdc/study/PDC000477,"Tandem mass tag 11-plex proteomic profiling of primary patient-derived acute myeloid leukemia cells identified four proteogenomic leukemia subtypes that complemented genomic mutation-based classification and were associated with distinct ex vivo drug-response patterns. The study measured 9,412 unique proteins, retained 8,521 proteins after missingness filtering, and used corrected proteomic and phosphoproteomic data to classify 210 patient samples. Proteomic subtype information improved interpretation of drug sensitivity, including venetoclax, panobinostat and sorafenib response patterns, and supported models for predicting therapy response.","PDC000477 represents the global proteome component only; several biological conclusions in the article rely on integration with the related phosphoproteome study, transcriptomics, whole-exome sequencing, clinical annotation and ex vivo drug-response data. PDC reports 211 cases and 211 aliquots, whereas the article analyzes 210 patient samples; the uploaded annotation contains 378 rows and gives 189 deduplicated sample entries by sample type, so sample accounting differs across PDC metadata, annotation rows and article-level cohort description. The cohort consists of bulk primary leukemia cell preparations, so clonal heterogeneity and variation in leukemic versus stromal cell composition are not resolved. The study is also limited by single-time-point profiling for most patient samples, while dynamic treatment-response conclusions are supported mainly by MOLM14 cell-line validation rather than longitudinal patient sampling.",Normalized
PDC,PDC000489,40749670,Integrative analysis of lung adenocarcinoma across diverse ethnicities and exposures,0,0.0,122.0,0.0,113,0.0,120,Primary lung adenocarcinoma tumor tissue; matched normal adjacent lung tissue; internal reference/control samples,Tissue,Lung tisssue,Lung,Lung tumor tissue; normal adjacent lung tissue,,,,,,Lung adenocarcinoma,Non-small cell lung cancer; adenocarcinoma,TMT11-based LC-MS/MS proteome profiling of primary lung adenocarcinoma tumor tissues and matched normal adjacent lung tissues; pooled/internal reference samples were included for cross-plex normalization; data are part of the CPTAC LUAD Confirmatory proteome cohort and were integrated with genomic and transcriptomic data in the broader CPTAC–ICPC LUAD study.,"CPTAC LUAD Confirmatory proteome dataset containing lung adenocarcinoma tumor tissues, matched normal adjacent lung tissues, and internal reference/control samples; used in a larger 406-patient proteogenomic LUAD analysis across diverse ethnicities and environmental exposures.",Q Exactive HF-X,TMT 11-plex,11418.0,11,126–131N = tumor samples (10 per plex),131C = CompRef,131.0,131,CDAP; median norm; log2 ratio to CompRef,Gene,Per study,UniProt; RefSeq,2023.0,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M).",0.01,result_PDC000489.xlsx,https://pdc.cancer.gov/pdc/study/PDC000489,"Integrated LUAD proteogenomic analysis identified molecular heterogeneity associated with driver mutations, chromosomal instability, immune signaling, carcinogen exposure signatures, and early-stage tumors with late-like molecular features; candidate protein biomarkers were proposed for genome-fragmented tumors and carcinogen-associated LUAD.","PDC000489 represents only the CPTAC LUAD Confirmatory proteome component of the broader CPTAC–ICPC LUAD integration; the full publication also includes other related LUAD projects, including CPTAC Discovery and Academia Sinica/ICPC cohorts. Therefore, conclusions from the 406-patient study should not be attributed only to PDC000489. In addition, PDC000489 contains internal reference/control/bridging entries, so biological LUAD patient samples must be separated from technical/reference samples",Normalized
PDC,PDC000514,38215747,Integrated proteogenomic characterization of glioblastoma evolution,221,0.0,112.0,109.0,0,0.0,109,Primary glioblastoma tumor tissue; recurrent glioblastoma tumor tissue; paired longitudinal tumor tissue,Tissue,Brain tumor tissue,Brain,Glioblastoma,,,,,,Glioblastoma,Glioblastoma multiforme; longitudinal primary and recurrent glioblastoma,TMT11-based LC-MS/MS global proteome profiling of glioblastoma tissue samples collected at diagnosis and recurrence; primary and recurrent tumor samples were quantified relative to pooled reference channels across TMT11 plexes.,Global proteome dataset comparing primary glioblastoma tumors collected at diagnosis with recurrent glioblastoma tumors collected after treatment.,Q Exactive HF-X,TMT 11-plex,11320.0,11,126–131N = tumor samples per plex,131C = pooled reference,111.0,111,Median norm; log2 ratio,Gene,Per study,UniProt; RefSeq,2023.0,"Fixed: Carbamidomethyl (C); TMT11 labeling (K, peptide N-terminus). Variable: Oxidation (M).",0.01,result_PDC000514.xlsx,https://pdc.cancer.gov/pdc/study/PDC000514,"Global proteome analysis showed that primary glioblastoma tumors are enriched in proliferation-, cell-cycle-, DNA replication- and EGFR-related programs, whereas recurrent tumors show increased abundance of proteins associated with neuronal transition, synaptic activity and neuron-like functions. Proteomic data also indicated reduced EGFR protein/signaling at recurrence and increased activity of BRAF/MAPK- and WNT/PCP-related proteins, supporting a shift from proliferative primary GBM toward a neuronal recurrent state.","Proteome-only dataset; no healthy brain tissue controls or adjacent normal tissue were included. Recurrent tumors are post-treatment samples, so proteomic differences may reflect both tumor evolution and therapy-associated selection. Reference/pool channels are technical normalization references, not biological controls. The publication reports a larger integrative cohort, while the proteome analysis was performed on a subset of longitudinal GBM pairs.",Normalized
